a1,a4,a6,a9,a31,Class
57479.75,4,0,0.59,0.0,0
161.24,2,0,24.965915,0.0,0
1252.16,9,0,0.05,0.0,0
0.0,0,1,0.0,0.0,0
80.96,10,0,0.05,0.0,0
0.0,1,0,0.033322,0.0,0
162.87,2,0,33.675787,0.0,0
24.27,3,0,15.728656,0.0,0
206.28,8,0,0.008,0.0,0
0.0,0,1,0.0,0.0,0
21.94,3,0,101.0,0.0,0
2986.83,179,0,0.05,0.0,0
4100.53,63,0,0.012231,0.0,0
4.18,201,0,0.010045,0.0,0
17.15,825,0,0.249254,0.0,0
163.78,2,0,101.0,0.0,0
15.23,3,0,101.0,0.0,0
0.0,0,1,0.0,0.0,0
0.0,0,0,0.0,0.0,0
104.88,3,0,101.0,0.0,0
0.0,0,1,0.0,0.0,0
106.69,3,0,6.884512,0.0,0
7.88,18,0,0.011068,0.0,0
11567.25,17,0,0.05,0.0,0
22086.33,9,0,0.196244,0.0,0
5173.8,91,0,0.000558,0.0,0
2998.86,68,0,0.00241,0.0,0
7.38,2324,0,0.007121,0.0,0
25.91,3,0,17.640844,0.0,0
10062.39,55,1,0.041927,0.0,0
0.0,0,1,0.0,0.0,0
164.7,2,0,101.0,0.0,0
0.0,0,1,0.0,0.0,0
23.57,3,0,36.0883,0.0,0
134.28,40,0,0.010001,0.0,0
406.61,49,0,0.120676,0.0,0
164696.65,5,0,0.07,0.0,0
78085.1,6,0,0.002131,0.0,0
2.06,2,0,3.999559,0.0,0
8812.23,54,0,0.137368,0.0,0
0.0,1,0,6.0,0.0,0
23157.85,5,0,3.807482,0.0,0
160.91,2,0,35.440902,0.0,0
9153.5,30,0,0.001,0.0,0
1749.52,15,0,0.01317,0.0,0
138727.59,3,0,0.09,0.0,0
0.0,1,0,4.995,0.0,0
22.18,3,0,101.0,0.0,0
164.01,2,0,4.849989,0.0,0
0.0,0,1,0.0,0.0,0
158.87,2,0,101.0,0.0,0
169.98,2671,1,0.019,0.0,0
20.67,3,0,101.0,0.0,0
21.36,3,0,101.0,0.0,0
4.3,7,0,5.009118,0.0,0
30.35,2,0,10.722254,0.0,0
0.0,0,1,0.0,0.0,0
