a46,a3,a47,a23,a28,a45,a18,a20,a30,a24,Class
23,321526.67,25,11.0,4.0,5.0,23,0.82496756,5.0,41.75532384,0
4,73.22,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
4,629558.2,3,0.0,0.0,0.0,140,17.25534477,0.0,0.0,0
4,99.67,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,25653.48,3,0.0,0.0,0.0,1992,691.0667363,0.0,0.0,0
270,158290.03,308,1.0,1.0,1.0,33,12.33824514,1.0,0.01927179,0
4,255.4,3,0.0,0.0,0.0,2,2.0,0.0,0.0,0
270,259401.85,11,1.0,1.0,1.0,27,881.581794,1.0,600.0,0
4,12.98,3,0.0,0.0,0.0,2,22.0,0.0,0.0,0
200,982742.9,321,420.0,88.0,111.0,561,484.5072008,113.0,10435329.07,0
4,7.57,3,0.0,0.0,0.0,4,423.2438767,0.0,0.0,0
270,226784.0,119,2.0,2.0,2.0,127,51.6258967,2.0,1.407932311,0
4,7.87,3,0.0,0.0,0.0,2,1.0,0.0,0.0,0
4,46.37,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
4,796393.9,3,0.0,0.0,0.0,2904,146.927481,0.0,0.0,0
250,37944.27,413,239.0,0.0,0.0,325,115572.2429,0.0,0.0,0
4,180.02,3,0.0,0.0,0.0,2,0.11226227,0.0,0.0,0
270,38489.35,436,6.0,5.0,6.0,3,7.98669434,6.0,219.7506026,0
4,327.37,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,341695.82,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
4,310.83,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
270,883783.62,260,2.0,2.0,2.0,1069,890.9764872,2.0,15233.0,0
162,995280.68,317,127.0,72.0,52.0,42,6.06367978,53.0,574262.5685,0
270,200110.12,119,2.0,2.0,2.0,141,125.921517,2.0,2.254816314,0
4,615209.03,3,0.0,0.0,0.0,32,3.07638424,0.0,0.0,0
4,642143.43,3,0.0,0.0,0.0,372,210.7726674,0.0,0.0,0
4,326.97,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
4,2350.32,3,0.0,0.0,0.0,2,0.260165986,0.0,0.0,0
189,563551.12,308,2.0,1.0,1.0,214,172.4001663,1.0,0.213366702,0
4,1547.22,3,0.0,0.0,0.0,4,2.29381225,0.0,0.0,0
